id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1469344916652400643,1469344916652400643,2021-12-10 16:35:01 UTC,2021-12-10,16:35:01,+0000,13334762,github,GitHub,,"Our new stack graphs framework lets us extract precise code navigation info from all Python repositories efficiently, without requiring work or configuration from the repository owner. Check out the details!  https://t.co/Q53JxQsW57",en,[],['https://github.blog/2021-12-09-introducing-stack-graphs/'],[],3,40,216,[],[],https://twitter.com/github/status/1469344916652400643,False,,0,,,,,,,,[],,,,
1469052530634207246,1469052530634207246,2021-12-09 21:13:11 UTC,2021-12-09,21:13:11,+0000,13334762,github,GitHub,,"Code navigation is now available in pull requests, and code navigation results for Python are more precise—all while still requiring no configuration on your part.   https://t.co/ZLagCCU7hk",en,[],['https://github.blog/2021-12-09-precise-code-navigation-python-code-navigation-pull-requests/'],[],8,73,419,[],[],https://twitter.com/github/status/1469052530634207246,False,,0,,,,,,,,[],,,,
1469003969380900866,1469003969380900866,2021-12-09 18:00:13 UTC,2021-12-09,18:00:13,+0000,13334762,github,GitHub,,Trace your code changes from idea to deployment and bake security into your pipeline with GitHub Enterprise - a complete solution for DevOps teams.  Watch the full video:  https://t.co/EsJ3AVMRm0,en,[],['https://youtu.be/1-i39RqaxRs'],[],0,10,47,[],[],https://twitter.com/github/status/1469003969380900866,False,,0,,,,,,,,[],,,,
1468626754474594316,1468626754474594316,2021-12-08 17:01:18 UTC,2021-12-08,17:01:18,+0000,13334762,github,GitHub,,"Check out the technology preview for GitHub code search, the next iteration for search, discovery, and navigation on GitHub.    https://t.co/DcV1RAwNXs  https://t.co/ua97dyff7h",en,[],['https://github.blog/2021-12-08-improving-github-code-search/'],[],39,489,2257,[],[],https://twitter.com/github/status/1468626754474594316,False,,1,https://pbs.twimg.com/amplify_video_thumb/1468626715874365444/img/T6ykI9HcsCBRXCdy.jpg,,,,,,,[],,,,
1465917098824134660,1465917098824134660,2021-12-01 05:34:06 UTC,2021-12-01,05:34:06,+0000,13334762,github,GitHub,,Give the gift of code to your favorite and most-used open source projects this December. @24PullRequests is back! 🎁   https://t.co/Mi5DWxeOme,en,"[{'screen_name': '24pullrequests', 'name': '24 pull requests', 'id': '949851962'}]",['https://24pullrequests.com/'],[],2,55,160,[],[],https://twitter.com/github/status/1465917098824134660,False,,0,,,,,,,,[],,,,
1465772698567688195,1465772698567688195,2021-11-30 20:00:18 UTC,2021-11-30,20:00:18,+0000,13334762,github,GitHub,,"Whether she’s performing comedy, playing music, writing code, or live streaming on Twitch, @whitep4nth3r’s energy is contagious. Hear her full story, now on The ReadME Podcast:  https://t.co/QspgQh1k2o  https://t.co/LEylP6mV7M",en,"[{'screen_name': 'whitep4nth3r', 'name': '🔴 live on twitch | whitep4nth3r', 'id': '1279007923990134785'}]",['https://github.co/3d6ksuZ'],[],1,19,81,[],[],https://twitter.com/github/status/1465772698567688195,False,,1,https://pbs.twimg.com/media/FFd4f8XWYAYpObU.jpg,,,,,,,[],,,,
1465380108445827083,1465380108445827083,2021-11-29 18:00:17 UTC,2021-11-29,18:00:17,+0000,13334762,github,GitHub,,ICYMI @codewithanthony shared how to improve code review reliability while maintaining productivity (and even some FUN) during #GitHubUniverse. Catch up on how to achieve both now on The ReadME Project:   https://t.co/RteehogWe1,en,"[{'screen_name': 'codewithanthony', 'name': 'anthony sottile', 'id': '843173484343644161'}]",['https://github.com/readme/guides/code-review'],[],0,17,75,['githubuniverse'],[],https://twitter.com/github/status/1465380108445827083,False,,0,,,,,,,,[],,,,
1462888662857920520,1462888662857920520,2021-11-22 21:00:11 UTC,2021-11-22,21:00:11,+0000,13334762,github,GitHub,,"When @cassidoo was learning to code, open source relationships and communities were (and still are) invaluable—so she’s constantly giving back to provide those same opportunities for others:  https://t.co/it6L08PcpK",en,"[{'screen_name': 'cassidoo', 'name': 'cassidy', 'id': '400286802'}]",['https://github.com/readme/stories/cassidy-williams'],[],1,19,131,[],[],https://twitter.com/github/status/1462888662857920520,False,,0,,,,,,,,[],,,,
1458857118719741955,1458857118719741955,2021-11-11 18:00:16 UTC,2021-11-11,18:00:16,+0000,13334762,github,GitHub,,Head over to The ReadME Project and learn how veterans embrace a new mission when they come home from active duty: Tackling code and lifting each other up.   https://t.co/djoe8XR8nX,en,[],['https://github.co/30dZVBL'],[],0,11,40,[],[],https://twitter.com/github/status/1458857118719741955,False,,0,,,,,,,,[],,,,
1458132383186706433,1458132383186706433,2021-11-09 18:00:25 UTC,2021-11-09,18:00:25,+0000,13334762,github,GitHub,,"While creating Astro, @FredKSchott discovered that programming is 10% code, and 90% communication. Hear more from Fred, now on The ReadME Podcast:  https://t.co/L9oKT31JAK  https://t.co/QJUwMDTtBo",en,"[{'screen_name': 'fredkschott', 'name': 'fred', 'id': '1308732128'}]",['https://github.com/readme/podcast/fred-schott'],[],1,7,38,[],[],https://twitter.com/github/status/1458132383186706433,False,,1,https://pbs.twimg.com/media/FDxTq8SXIAg231v.jpg,,,,,,,[],,,,
1456635470339788803,1456635470339788803,2021-11-05 14:52:13 UTC,2021-11-05,14:52:13,+0000,13334762,github,GitHub,,"Great idea, thanks! From today if you have a CODE_OF_CONDUCT.md file in the root of your repo we will highlight it.  To learn more visit  https://t.co/hejKYTPszW   https://t.co/dP94UOgim2  https://t.co/yHEGNYb1rC",en,[],"['https://docs.github.com/communities/setting-up-your-project-for-healthy-contributions/adding-a-code-of-conduct-to-your-project', 'https://twitter.com/juliaferraioli/status/1451653024359665668']",['https://pbs.twimg.com/media/FDcCPTrXEAYrPRf.jpg'],23,284,1347,[],[],https://twitter.com/github/status/1456635470339788803,False,https://twitter.com/juliaferraioli/status/1451653024359665668,1,https://pbs.twimg.com/media/FDcCPTrXEAYrPRf.jpg,,,,,,,[],,,,
1455915569866108935,1455914915311415299,2021-11-03 15:11:36 UTC,2021-11-03,15:11:36,+0000,13334762,github,GitHub,,"@natfriedman A big welcome to our new CEO, @ashtom! Thomas has spearheaded many important changes to improve the experience for developers around the world, like the launch of free private repos. And did we mention, he still finds time every week to code?! ⌨️  https://t.co/78EWVhhqsm",en,"[{'screen_name': 'ashtom', 'name': 'thomas dohmke', 'id': '14237533'}]",['https://github.blog/2021-11-03-building-the-next-phase-of-github-together/'],[],2,24,108,[],[],https://twitter.com/github/status/1455915569866108935,False,,0,,,,,,,,"[{'screen_name': 'natfriedman', 'name': 'Nat Friedman', 'id': '13235832'}]",,,,
1455618716801150991,1455618716801150991,2021-11-02 19:32:00 UTC,2021-11-02,19:32:00,+0000,13334762,github,GitHub,,It's now easier to work with tables and code snippets in issues and pull requests (and more). Fixed-width font support for Markdown fields is here!  https://t.co/5w58Y2mLfZ,en,[],['https://github.blog/changelog/2021-10-12-fixed-width-font-support-in-markdown-enabled-fields/'],[],5,46,292,[],[],https://twitter.com/github/status/1455618716801150991,False,,0,,,,,,,,[],,,,
1453501775231676421,1453407004798722056,2021-10-27 23:20:02 UTC,2021-10-27,23:20:02,+0000,13334762,github,GitHub,,"Ask questions, share ideas, and build connections, all right next to your code. Join @tweetsbyevi for ""GitHub Discussions: From 0 to Hero"" available on demand at #GitHubUniverse.  https://t.co/89kdiauRIw",en,"[{'screen_name': 'tweetsbyevi', 'name': 'evi liu', 'id': '1088507927831302144'}]",['https://www.githubuniverse.com/2021/session/689500/github-discussions-from-0-to-hero'],[],0,9,30,['githubuniverse'],[],https://twitter.com/github/status/1453501775231676421,False,,0,,,,,,,,[],,,,
1453496764401700865,1453496764401700865,2021-10-27 23:00:07 UTC,2021-10-27,23:00:07,+0000,13334762,github,GitHub,,ICYMI @codewithanthony shared how to improve code review reliability while maintaining productivity (and even some FUN) during #GitHubUniverse. Catch up on how to achieve both now on The ReadME Project.,en,"[{'screen_name': 'codewithanthony', 'name': 'anthony sottile', 'id': '843173484343644161'}]",[],[],0,11,35,['githubuniverse'],[],https://twitter.com/github/status/1453496764401700865,False,,0,,,,,,,,[],,,,
1453474092586311682,1453474092586311682,2021-10-27 21:30:02 UTC,2021-10-27,21:30:02,+0000,13334762,github,GitHub,,Code…as documentation? @indigitalcolor just shared why doing so can save a whole lot of time and hassle during #GitHubUniverse. Read the written guide now on The ReadME Project.  https://t.co/WDUiv9IuMb,en,"[{'screen_name': 'indigitalcolor', 'name': 'monica.dev', 'id': '365119419'}]",['https://github.com/readme/guides/code-as-documentation'],[],2,21,73,['githubuniverse'],[],https://twitter.com/github/status/1453474092586311682,False,,0,,,,,,,,[],,,,
1453013674441035780,1453013674441035780,2021-10-26 15:00:30 UTC,2021-10-26,15:00:30,+0000,13334762,github,GitHub,,"When @codewithanthony was young, he first learned code so he could ""cheat"" on math homework. Today, he contributes to 70+ open source projects and streams weekly on Twitch. Hear more about his story, and how he fits it all in on The ReadME Podcast:   https://t.co/RakSSrxfcT  https://t.co/sYXp19nWDo",en,"[{'screen_name': 'codewithanthony', 'name': 'anthony sottile', 'id': '843173484343644161'}]",['https://github.com/readme/podcast/anthony-sottile'],[],3,17,93,[],[],https://twitter.com/github/status/1453013674441035780,False,,1,https://pbs.twimg.com/media/FCokO_bXsAMk4L8.jpg,,,,,,,[],,,,
1450567476308283399,1450567476308283399,2021-10-19 21:00:11 UTC,2021-10-19,21:00:11,+0000,13334762,github,GitHub,,It's now easier to work with tables and code snippets in issues and pull requests (and more). Fixed-width font support for Markdown fields is here!  https://t.co/VKVtu6R0MG,en,[],['https://github.co/2YZWBte'],[],4,57,340,[],[],https://twitter.com/github/status/1450567476308283399,False,,0,,,,,,,,[],,,,
1449091459542659084,1449091459542659084,2021-10-15 19:15:01 UTC,2021-10-15,19:15:01,+0000,13334762,github,GitHub,,"Code might not last forever, but _why proves you can have an impact that outlives your work.  https://t.co/1EZxW7KdFd",en,[],['https://github.com/readme/featured/why-the-lucky-stiff'],[],0,49,142,[],[],https://twitter.com/github/status/1449091459542659084,False,,0,,,,,,,,[],,,,
1448402671195594753,1448402671195594753,2021-10-13 21:38:01 UTC,2021-10-13,21:38:01,+0000,13334762,github,GitHub,,"We’re returning to the Cloud Engineering Summit with Rizel Scarlett showing you how to get from Code to Cloud without learning new tools. Don’t miss her session on October 20, at 11:20am PT  https://t.co/zAhSvExz4K   #CloudEngineeringSummit  @PulumiCorp  https://t.co/hrbGAZfohK",en,"[{'screen_name': 'pulumicorp', 'name': 'pulumi', 'id': '837770064870817792'}]",['http://github.co/2X5fWsu'],['https://pbs.twimg.com/media/FBnCjZaXsAogLaL.jpg'],0,14,54,['cloudengineeringsummit'],[],https://twitter.com/github/status/1448402671195594753,False,,1,https://pbs.twimg.com/media/FBnCjZaXsAogLaL.jpg,,,,,,,[],,,,
1446808916487200769,1446808916487200769,2021-10-09 12:05:00 UTC,2021-10-09,12:05:00,+0000,13334762,github,GitHub,,Our latest Release Radar is hot off the press featuring hot new releases like...  - 📅 a tool / infrastructure for scheduling meetings - 🐍 Python libs for machine learning applications - 🎨 VS Code extensions and plugins  and more!  https://t.co/ZgWb9Lf2ek,en,[],['https://github.blog/2021-10-08-release-radar-aug-2021/'],[],2,38,208,[],[],https://twitter.com/github/status/1446808916487200769,False,,0,,,,,,,,[],,,,
1445471582403514375,1445471582403514375,2021-10-05 19:30:55 UTC,2021-10-05,19:30:55,+0000,13334762,github,GitHub,,Looking for a fun distraction? Check out these 13 tiny and terrific games + source code from the recent #JS13K competition:  https://t.co/3vbNSXITEv 😍  https://t.co/3yNWmx8YMv,en,[],['https://github.blog/2021-10-05-13-tiny-and-terrific-entries-from-the-js13kgames-competition'],[],3,67,257,['js13k'],[],https://twitter.com/github/status/1445471582403514375,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1445471408507670531/pu/img/3dY9D388PWNbHMV9.jpg,,,,,,,[],,,,
1443909874832842769,1443909874832842769,2021-10-01 12:05:15 UTC,2021-10-01,12:05:15,+0000,13334762,github,GitHub,,Do you miss or did you miss out on old-school .𝙼𝙾𝙳 files? 💾   This web player might be the perfect way to (re)discover them. And it makes cool music to code to:  https://t.co/zgE0PXbccP 😎  https://t.co/NyZQXZWWi2,en,[],['https://coolmodfiles.com'],[],10,40,218,[],[],https://twitter.com/github/status/1443909874832842769,False,,1,https://pbs.twimg.com/media/FAnMYF3XIA0DKF3.jpg,,,,,,,[],,,,
1441378096096051200,1441378096096051200,2021-09-24 12:24:52 UTC,2021-09-24,12:24:52,+0000,13334762,github,GitHub,,Need to add some ASCII art flow diagrams to your README or code comments?  YES →  https://t.co/U6E3T0t0JY (งツ)ว  https://t.co/34yjRProUY,en,[],['https://asciiflow.com'],[],25,865,3548,[],[],https://twitter.com/github/status/1441378096096051200,False,,1,https://pbs.twimg.com/amplify_video_thumb/1441377947189972992/img/LrCM45quUqkZ2l4s.jpg,,,,,,,[],,,,
